rca.function.cyclomatic.sum,0,0,0,2,3,3,11,10,14,12,25,18,17,20,17,22,23,30,58,50
rca.function.loc.blank,0,0,0,0,0,1,2,2,2,8,16,7,12,11,12,14,21,25,36,54
rca.function.loc.cloc_average,0,0,1,17,6,8,7,10,16,23,14,24,21,29,36,39,34,39,45,70
rca.function.nargs.closures_max,0,0,0,6,4,6,10,11,19,16,19,14,14,12,16,26,28,25,54,42
rca.function.nom.functions,0,0,3,2,3,4,4,7,9,2,12,23,31,26,30,40,38,43,50,45
rca.function.halstead.difficulty,3,2,6,10,20,25,26,28,27,20,30,21,22,21,25,28,35,33,22,43
rca.function.halstead.effort,0,0,0,0,0,0,1,0,0,3,2,5,8,11,16,21,18,30,50,46
rca.function.halstead.vocabulary,1,2,8,1,9,11,16,13,20,17,34,16,17,21,26,25,35,37,46,52
rca.function.cognitive.average,0,0,1,3,5,12,13,6,6,9,24,24,30,36,20,25,28,31,46,36
rca.function.cognitive.max,0,0,0,7,2,2,1,4,5,18,10,18,14,24,24,23,33,45,21,46
rca.function.cyclomatic.max,0,0,0,0,1,0,2,0,2,16,5,11,18,20,20,17,18,23,20,29
rca.function.cyclomatic.min,0,0,0,1,1,0,1,3,4,14,4,16,8,8,12,14,21,26,47,47
rca.function.loc.blank_average,0,0,0,1,1,2,7,8,12,10,26,19,26,26,26,30,30,28,24,44
rca.function.loc.blank_max,0,0,0,0,1,0,1,4,3,3,4,10,9,11,13,19,25,22,22,42
rca.function.loc.cloc,0,0,1,0,1,6,9,6,3,6,8,12,14,22,25,25,36,28,28,47
rca.function.loc.cloc_max,0,0,2,4,7,6,4,10,12,10,28,12,35,36,30,37,31,29,41,41
rca.function.loc.lloc_average,0,1,2,5,5,8,8,14,18,24,20,16,34,28,32,22,31,26,32,41
rca.function.loc.ploc,0,0,0,0,0,0,1,0,0,4,11,10,10,13,16,11,16,12,11,33
rca.function.loc.sloc,11,4,4,3,4,7,6,5,9,12,14,14,13,14,25,31,36,34,20,40
rca.function.nom.average,0,0,0,0,2,3,2,3,5,4,6,10,24,22,30,22,30,28,36,46
rca.function.nom.closures,1,2,0,3,6,6,4,7,12,12,25,21,21,19,15,16,16,13,23,38
rca.function.nom.total,0,0,1,1,1,3,3,5,7,4,15,9,18,17,18,32,25,32,25,46
rca.function.halstead.N2,0,0,0,0,2,1,0,4,5,2,8,8,22,18,22,20,22,22,18,28
rca.function.halstead.bugs,4,0,0,0,0,0,0,1,1,0,2,6,6,3,4,5,10,15,11,38
rca.function.halstead.length,10,2,1,3,2,2,4,1,3,3,6,8,13,14,14,15,21,28,19,30
rca.function.halstead.time,4,0,0,0,0,0,5,4,6,6,15,16,12,12,17,19,28,21,23,40
rca.function.halstead.volume,2,2,0,0,1,2,2,1,2,11,8,5,10,10,9,8,11,10,11,17
